Id,Username,EmailAddress,DogPreference,Status,CreateTimestamp,Updatetimestamp,LastLoginTimestamp,OwnerRating,AppRating
51,Walker 51,Walker51@email.com,Small,Open,2018-03-29 18:17:11,,,,4.00
52,Walker 52,Walker52@email.com,Large,Open,2018-04-19 10:27:43,,,,3.00
53,Walker 53,Walker53@email.com,Large,Open,2018-04-22 07:59:02,,,,4.00
54,Walker 54,Walker54@email.com,Large,Open,2018-04-13 23:11:30,,,,5.00
55,Walker 55,Walker55@email.com,Small,Open,2018-04-05 05:21:11,,,,5.00
56,Walker 56,Walker56@email.com,Small,Open,2018-05-06 17:03:57,,,,5.00
57,Walker 57,Walker57@email.com,Large,Open,2018-02-04 15:06:29,,,,5.00
58,Walker 58,Walker58@email.com,Medium,Open,2018-02-24 12:40:49,,,,5.00
59,Walker 59,Walker59@email.com,Small,Open,2018-02-03 07:45:24,,,,5.00
60,Walker 60,Walker60@email.com,Small,Open,2018-03-27 06:47:28,,,,4.00
61,Walker 61,Walker61@email.com,Medium,Open,2018-02-07 02:35:42,,,,4.00
62,Walker 62,Walker62@email.com,Medium,Open,2018-03-03 02:30:45,,,,4.00
63,Walker 63,Walker63@email.com,Medium,Open,2018-04-21 09:15:37,,,,4.00
64,Walker 64,Walker64@email.com,Medium,Open,2018-05-14 06:43:28,,,,4.00
65,Walker 65,Walker65@email.com,Medium,Open,2018-02-19 14:44:16,,,,3.00
66,Walker 66,Walker66@email.com,Small,Open,2018-04-30 20:04:39,,,,4.00
67,Walker 67,Walker67@email.com,Medium,Open,2018-02-09 18:40:52,,,,4.00
68,Walker 68,Walker68@email.com,Medium,Open,2018-02-21 09:53:02,,,,3.00
69,Walker 69,Walker69@email.com,Medium,Open,2018-04-17 07:25:11,,,,5.00
70,Walker 70,Walker70@email.com,Medium,Open,2018-02-13 07:42:16,,,,4.00
71,Walker 71,Walker71@email.com,Medium,Open,2018-02-25 13:31:57,,,,3.00
72,Walker 72,Walker72@email.com,Large,Open,2018-03-05 00:15:58,,,,5.00
73,Walker 73,Walker73@email.com,Small,Open,2018-05-14 04:13:46,,,,3.00
74,Walker 74,Walker74@email.com,Small,Open,2018-02-14 19:25:45,,,,5.00
75,Walker 75,Walker75@email.com,Small,Open,2018-04-14 06:57:34,,,,3.00
76,Walker 76,Walker76@email.com,Medium,Open,2018-02-11 21:34:11,,,,4.00
77,Walker 77,Walker77@email.com,Small,Open,2018-05-08 16:07:23,,,,4.00
78,Walker 78,Walker78@email.com,Medium,Open,2018-04-20 05:23:36,,,,4.00
79,Walker 79,Walker79@email.com,Small,Open,2018-02-21 10:42:24,,,,5.00
80,Walker 80,Walker80@email.com,Large,Open,2018-04-19 20:40:19,,,,3.00
81,Walker 81,Walker81@email.com,Large,Open,2018-03-07 21:23:07,,,,5.00
82,Walker 82,Walker82@email.com,Large,Open,2018-03-03 20:51:21,,,,5.00
83,Walker 83,Walker83@email.com,Small,Open,2018-03-03 10:14:07,,,,5.00
84,Walker 84,Walker84@email.com,Small,Open,2018-03-23 22:30:13,,,,4.00
85,Walker 85,Walker85@email.com,Medium,Open,2018-02-15 12:45:30,,,,5.00
86,Walker 86,Walker86@email.com,Small,Open,2018-02-26 16:23:10,,,,3.00
87,Walker 87,Walker87@email.com,Large,Open,2018-04-19 01:29:13,,,,5.00
88,Walker 88,Walker88@email.com,Small,Open,2018-03-05 22:01:03,,,,3.00
89,Walker 89,Walker89@email.com,Medium,Open,2018-04-13 02:17:41,,,,3.00
90,Walker 90,Walker90@email.com,Medium,Open,2018-04-12 00:39:04,,,,4.00
91,Walker 91,Walker91@email.com,Medium,Open,2018-03-23 11:54:09,,,,3.00
92,Walker 92,Walker92@email.com,Medium,Open,2018-02-25 21:37:21,,,,3.00
93,Walker 93,Walker93@email.com,Medium,Open,2018-02-26 04:51:41,,,,3.00
94,Walker 94,Walker94@email.com,Medium,Open,2018-03-14 13:20:13,,,,3.00
95,Walker 95,Walker95@email.com,Medium,Open,2018-03-27 17:28:46,,,,5.00
96,Walker 96,Walker96@email.com,Medium,Open,2018-05-24 22:43:15,,,,5.00
97,Walker 97,Walker97@email.com,Medium,Open,2018-03-11 11:49:04,,,,5.00
98,Walker 98,Walker98@email.com,Medium,Open,2018-04-23 10:59:27,,,,5.00
99,Walker 99,Walker99@email.com,Medium,Open,2018-03-14 08:46:45,,,,3.00
100,Walker 100,Walker100@email.com,Medium,Open,2018-05-05 07:15:30,,,,4.00
