Id,Username,EmailAddress,Status,CreateTimestamp,Updatetimestamp,LastLoginTimestamp,OwnerRating,AppRating
79,User 79,User79@email.com,Open,2019-03-30 12:58:21,,,,5.00
80,User 80,User80@email.com,Open,2019-04-27 13:00:47,,,,5.00
81,User 81,User81@email.com,Open,2019-03-17 04:50:49,,,,4.00
82,User 82,User82@email.com,Open,2019-05-03 06:28:06,,,,4.00
83,User 83,User83@email.com,Open,2019-05-02 03:17:20,,,,3.00
84,User 84,User84@email.com,Open,2019-04-18 23:04:51,,,,3.00
85,User 85,User85@email.com,Open,2019-05-13 09:19:06,,,,5.00
86,User 86,User86@email.com,Open,2019-03-02 12:29:32,,,,4.00
87,User 87,User87@email.com,Open,2019-02-13 12:57:44,,,,3.00
88,User 88,User88@email.com,Open,2019-04-27 06:03:10,,,,3.00
89,User 89,User89@email.com,Open,2019-02-21 00:42:14,,,,4.00
90,User 90,User90@email.com,Open,2019-03-19 06:17:33,,,,3.00
91,User 91,User91@email.com,Open,2019-03-04 11:21:56,,,,4.00
92,User 92,User92@email.com,Open,2019-04-18 15:54:37,,,,5.00
93,User 93,User93@email.com,Open,2019-03-02 22:00:09,,,,4.00
94,User 94,User94@email.com,Open,2019-05-10 16:10:09,,,,3.00
95,User 95,User95@email.com,Open,2019-02-15 22:03:03,,,,3.00
96,User 96,User96@email.com,Open,2019-04-05 01:54:38,,,,3.00
97,User 97,User97@email.com,Open,2019-02-25 12:53:24,,,,4.00
98,User 98,User98@email.com,Open,2019-04-22 07:16:14,,,,5.00
99,User 99,User99@email.com,Open,2019-03-05 20:42:38,,,,5.00
100,User 100,User100@email.com,Open,2019-02-27 01:47:41,,,,4.00
